service_id,date,exception_type
8264,20210612,1
8267,20210501,1
8268,20210502,1
8269,20210503,1
8273,20210508,1
8274,20210509,1
8277,20210510,1
8278,20210509,1
8278,20210510,1
8285,20210514,1
8287,20210513,2
8288,20210515,1
8289,20210508,1
8289,20210515,1
8289,20210612,1
8292,20210514,2
8295,20210508,1
8295,20210509,1
8295,20210515,1
8295,20210516,1
8295,20210612,1
8298,20210522,1
8301,20210523,1
8303,20210524,1
8304,20210513,1
8304,20210524,1
8305,20210524,1
8306,20210524,1
8307,20210513,1
8307,20210524,1
8307,20210515,2
8307,20210516,2
8308,20210513,1
8308,20210524,1
8309,20210525,1
8310,20210527,1
8311,20210528,1
8312,20210528,1
8312,20210513,2
8317,20210513,2
8317,20210514,2
8317,20210524,2
8318,20210514,2
8320,20210529,1
8322,20210504,1
8322,20210505,1
8322,20210506,1
8322,20210507,1
8322,20210508,1
8322,20210511,1
8322,20210512,1
8322,20210513,1
8322,20210515,1
8322,20210529,1
8322,20210612,1
8324,20210531,2
8327,20210530,1
8330,20210501,1
8330,20210508,1
8330,20210513,1
8332,20210531,2
8337,20210529,1
8337,20210530,1
8338,20210531,2
8340,20210531,2
8343,20210607,2
8343,20210608,2
8343,20210609,2
8343,20210610,2
8345,20210525,1
8350,20210513,2
8350,20210524,2
8352,20210530,1
8352,20210531,1
8353,20210530,1
8353,20210531,1
8353,20210516,2
8353,20210524,2
8354,20210601,2
8357,20210403,1
8358,20210403,1
8358,20210515,1
8359,20210403,1
8359,20210508,1
8359,20210509,1
8359,20210515,1
8359,20210516,1
8359,20210612,1
8360,20210403,1
8360,20210509,1
8360,20210510,1
8360,20210516,1
8360,20210517,1
8361,20210404,1
8362,20210404,1
8362,20210513,1
8363,20210404,1
8363,20210516,1
8365,20210405,1
8366,20210405,1
8366,20210514,1
8367,20210405,1
8367,20210516,1
8369,20210405,1
8369,20210513,1
8369,20210524,1
8371,20210404,1
8371,20210405,1
8372,20210405,1
8373,20210406,1
8374,20210404,1
8375,20210407,1
8378,20210406,1
8378,20210407,1
8378,20210601,1
8378,20210602,1
8378,20210608,1
8378,20210609,1
8383,20210410,1
8390,20210411,1
8395,20210411,1
8395,20210501,1
8395,20210612,1
8399,20210404,2
8403,20210411,1
8403,20210412,1
8406,20210412,1
8408,20210407,1
8408,20210414,1
8408,20210602,1
8408,20210609,1
8410,20210406,1
8410,20210407,1
8410,20210413,1
