ID;Date;Service;Ligne;Nom de la ligne;Taux de ponctualité;Nombre de voyageurs à l'heure pour un voyageur en retard
TRA_8;2013-02;Transilien;K;Paris Nord Crépy;75.2;3.0
TRA_13;2013-02;Transilien;U;La Verrière - La Défense;91.7;11.0
TRA_4;2013-03;RER;D;RER D;80.0;4.0
TRA_5;2013-03;RER;E;RER E;92.9;13.1
TRA_11;2013-03;Transilien;P;Paris Est;89.0;8.1
TRA_12;2013-03;Transilien;R;Paris Sud Est;89.2;8.3
TRA_13;2013-03;Transilien;U;La Verrière - La Défense;89.2;8.3
TRA_5;2013-04;RER;E;RER E;96.2;25.3
TRA_13;2013-04;Transilien;U;La Verrière - La Défense;90.1;9.1
TRA_1;2013-05;RER;A;RER A;86.4;6.4
TRA_3;2013-05;RER;C;RER C;92.3;12.0
TRA_4;2013-05;RER;D;RER D;87.1;6.8
TRA_5;2013-05;RER;E;RER E;95.5;21.2
TRA_1;2013-06;RER;A;RER A;83.4;5.0
TRA_3;2013-06;RER;C;RER C;90.3;9.3
TRA_7;2013-06;Transilien;J;Paris Saint-Lazare Nord;83.5;5.1
TRA_8;2013-06;Transilien;K;Paris Nord Crépy;71.9;2.6
TRA_4;2013-07;RER;D;RER D;85.2;5.8
TRA_7;2013-07;Transilien;J;Paris Saint-Lazare Nord;87.0;6.7
TRA_11;2013-07;Transilien;P;Paris Est;90.1;9.1
TRA_3;2013-08;RER;C;RER C;93.4;14.2
TRA_4;2013-08;RER;D;RER D;90.4;9.4
TRA_9;2013-08;Transilien;L;Paris Saint-Lazare Sud;89.9;8.9
TRA_11;2013-08;Transilien;P;Paris Est;92.1;11.7
TRA_1;2013-09;RER;A;RER A;83.3;5.0
TRA_2;2013-09;RER;B;RER B;86.6;6.5
TRA_3;2013-09;RER;C;RER C;93.1;13.5
TRA_10;2013-09;Transilien;N;Paris Montparnasse;92.7;12.7
TRA_13;2013-09;Transilien;U;La Verrière - La Défense;92.9;13.1
TRA_2;2013-10;RER;B;RER B;80.7;4.2
TRA_5;2013-10;RER;E;RER E;95.2;19.8
TRA_6;2013-10;Transilien;H;Paris Nord Ouest;94.2;16.2
TRA_13;2013-10;Transilien;U;La Verrière - La Défense;91.6;10.9
TRA_4;2013-11;RER;D;RER D;76.9;3.3
