route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,NMBS/SNCB,IC,Liège-Guillemins -- Liers,,103,,,
10,NMBS/SNCB,BUS,La Louvière-Sud -- Manage,,700,,,
100,NMBS/SNCB,IC,Enghien -- Tournai,,103,,,
101,NMBS/SNCB,BUS,Anvers-Central -- Tongres,,700,,,
102,NMBS/SNCB,BUS,Flémalle-Haute -- Huy,,700,,,
103,NMBS/SNCB,BUS,Bertrix -- Virton,,700,,,
104,NMBS/SNCB,IC,Mons -- Soignies,,103,,,
105,NMBS/SNCB,IC,Audenarde -- Denderleeuw,,103,,,
106,NMBS/SNCB,L,Namur -- Dinant,,100,,,
107,NMBS/SNCB,L,Gand-Saint-Pierre -- Renaix,,100,,,
108,NMBS/SNCB,L,Gand-Saint-Pierre -- Audenarde,,100,,,
109,NMBS/SNCB,IC,Zottegem -- Courtrai,,103,,,
11,NMBS/SNCB,BUS,Charleroi-Sud -- Mons,,700,,,
110,NMBS/SNCB,IC,Bruxelles-Midi -- Anvers-Central,,103,,,
111,NMBS/SNCB,IC,Liers -- Rivage,,103,,,
112,NMBS/SNCB,IC,Tournai -- Mouscron,,103,,,
113,NMBS/SNCB,IC,Burst -- Denderleeuw,,103,,,
114,NMBS/SNCB,IC,Mons -- Mouscron,,103,,,
115,NMBS/SNCB,IC,Jette -- Lokeren,,103,,,
116,NMBS/SNCB,IC,Bruxelles-Midi -- Rochefort-Jemelle,,103,,,
117,NMBS/SNCB,IC,Jette -- Termonde,,103,,,
118,NMBS/SNCB,IC,Saint-Ghislain -- Mouscron,,103,,,
119,NMBS/SNCB,IC,Burst -- Courtrai,,103,,,
12,NMBS/SNCB,BUS,Burst -- Denderleeuw,,700,,,
120,NMBS/SNCB,EXTRA,Charleroi-Sud -- Mons,,103,,,
121,NMBS/SNCB,EXTRA,Charleroi-Sud -- Tournai,,103,,,
122,NMBS/SNCB,IC,Charleroi-Sud -- Tournai,,103,,,
123,NMBS/SNCB,IC,Charleroi-Sud -- Mouscron,,103,,,
124,NMBS/SNCB,EXTRA,Charleroi-Sud -- Mouscron,,103,,,
125,NMBS/SNCB,IC,Libramont -- Arlon,,103,,,
126,NMBS/SNCB,IC,Bruges -- Ostende,,103,,,
127,NMBS/SNCB,IC,Liège-Saint-Lambert -- Flémalle-Haute,,103,,,
128,NMBS/SNCB,IC,Herentals -- Turnhout,,103,,,
129,NMBS/SNCB,IC,Herentals -- Hamont,,103,,,
13,NMBS/SNCB,BUS,Audenarde -- Courtrai,,700,,,
130,NMBS/SNCB,IC,Namur -- Dinant,,103,,,
131,NMBS/SNCB,IC,Bruxelles-Midi -- Gembloux,,103,,,
132,NMBS/SNCB,IC,Herentals -- Mol,,103,,,
133,NMBS/SNCB,IC,Herentals -- Neerpelt,,103,,,
134,NMBS/SNCB,L,Marloie -- Bomal,,100,,,
135,NMBS/SNCB,L,Ottignies -- Charleroi-Sud,,100,,,
136,NMBS/SNCB,L,Rochefort-Jemelle -- Bomal,,100,,,
137,NMBS/SNCB,IC,Hasselt -- Aarschot,,103,,,
138,NMBS/SNCB,IC,Lichtervelde -- Courtrai,,103,,,
139,NMBS/SNCB,IC,Bruges -- Knokke,,103,,,
14,NMBS/SNCB,BUS,Louvain -- Aarschot,,700,,,
140,NMBS/SNCB,IC,Schellebelle -- Denderleeuw,,103,,,
141,NMBS/SNCB,L,Anvers-Central -- Saint-Nicolas,,100,,,
142,NMBS/SNCB,L,Mons -- Quévy,,100,,,
143,NMBS/SNCB,IC,Anvers-Central -- Saint-Nicolas,,103,,,
144,NMBS/SNCB,IC,Brussels Airport-Zaventem -- Enghien,,103,,,
145,NMBS/SNCB,IC,Ostende -- Gand-Saint-Pierre,,103,,,
146,NMBS/SNCB,L,Bruxelles-Midi -- Louvain,,100,,,
147,NMBS/SNCB,L,Hal -- Louvain,,100,,,
148,NMBS/SNCB,L,Anvers-Central -- Malines,,100,,,
149,NMBS/SNCB,L,Audenarde -- Renaix,,100,,,
15,NMBS/SNCB,BUS,Hasselt -- Genk,,700,,,
150,NMBS/SNCB,IC,Liers -- Flémalle-Haute,,103,,,
151,NMBS/SNCB,IC,Liège-Guillemins -- Andenne,,103,,,
152,NMBS/SNCB,IC,Tamines -- Mons,,103,,,
153,NMBS/SNCB,IC,Tamines -- Mouscron,,103,,,
154,NMBS/SNCB,IC,Liège-Guillemins -- Namur,,103,,,
155,NMBS/SNCB,IC,Knokke -- Gand-Saint-Pierre,,103,,,
156,NMBS/SNCB,IC,Mons -- La Louvière-Sud,,103,,,
157,NMBS/SNCB,BUS,Lierre -- Aarschot,,700,,,
158,NMBS/SNCB,L,Malines -- Termonde,,100,,,
159,NMBS/SNCB,BUS,Lierre -- Louvain,,700,,,
16,NMBS/SNCB,BUS,Bruges -- Lichtervelde,,700,,,
160,NMBS/SNCB,BUS,Anvers-Central -- Aarschot,,700,,,
161,NMBS/SNCB,IC,Tongres -- Liège-Guillemins,,103,,,
162,NMBS/SNCB,IC,Tongres -- Herstal,,103,,,
