trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN14140F201397:2021-03-08T18:51:30Z,06:50:00,06:50:00,StopPoint:OCEINTERCITES-87673004,0,,0,1,
OCESN14140F201397:2021-03-08T18:51:30Z,07:31:00,07:33:00,StopPoint:OCEINTERCITES-87672253,1,,0,0,
OCESN14140F201397:2021-03-08T18:51:30Z,07:54:00,07:57:00,StopPoint:OCEINTERCITES-87672006,2,,0,0,
OCESN14140F201397:2021-03-08T18:51:30Z,08:22:00,08:25:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14140F201397:2021-03-08T18:51:30Z,08:39:00,08:39:00,StopPoint:OCEINTERCITES-87671008,4,,1,0,
OCESN14140F236412:2021-03-09T18:51:45Z,06:35:00,06:35:00,StopPoint:OCEINTERCITES-87673004,0,,0,1,
OCESN14140F236412:2021-03-09T18:51:45Z,07:33:00,07:35:00,StopPoint:OCEINTERCITES-87672253,1,,0,0,
OCESN14140F236412:2021-03-09T18:51:45Z,07:56:00,07:59:00,StopPoint:OCEINTERCITES-87672006,2,,0,0,
OCESN14140F236412:2021-03-09T18:51:45Z,08:25:00,08:28:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14140F236412:2021-03-09T18:51:45Z,08:41:00,08:44:00,StopPoint:OCEINTERCITES-87671008,4,,0,0,
OCESN14140F236412:2021-03-09T18:51:45Z,09:25:00,09:27:00,StopPoint:OCEINTERCITES-87611137,5,,0,0,
OCESN14140F236412:2021-03-09T18:51:45Z,10:24:00,10:24:00,StopPoint:OCEINTERCITES-87611004,6,,1,0,
OCESN14140F237288:2021-03-09T18:51:45Z,06:50:00,06:50:00,StopPoint:OCEINTERCITES-87673004,0,,0,1,
OCESN14140F237288:2021-03-09T18:51:45Z,07:31:00,07:33:00,StopPoint:OCEINTERCITES-87672253,1,,0,0,
OCESN14140F237288:2021-03-09T18:51:45Z,07:54:00,07:57:00,StopPoint:OCEINTERCITES-87672006,2,,0,0,
OCESN14140F237288:2021-03-09T18:51:45Z,08:22:00,08:25:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14140F237288:2021-03-09T18:51:45Z,08:39:00,08:42:00,StopPoint:OCEINTERCITES-87671008,4,,0,0,
OCESN14140F237288:2021-03-09T18:51:45Z,09:23:00,09:25:00,StopPoint:OCEINTERCITES-87611137,5,,0,0,
OCESN14140F237288:2021-03-09T18:51:45Z,10:24:00,10:24:00,StopPoint:OCEINTERCITES-87611004,6,,1,0,
OCESN14140F254304:2021-03-04T18:51:09Z,06:35:00,06:35:00,StopPoint:OCEINTERCITES-87673004,0,,0,1,
OCESN14140F254304:2021-03-04T18:51:09Z,07:33:00,07:35:00,StopPoint:OCEINTERCITES-87672253,1,,0,0,
OCESN14140F254304:2021-03-04T18:51:09Z,07:56:00,07:59:00,StopPoint:OCEINTERCITES-87672006,2,,0,0,
OCESN14140F254304:2021-03-04T18:51:09Z,08:25:00,08:28:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14140F254304:2021-03-04T18:51:09Z,08:41:00,08:44:00,StopPoint:OCEINTERCITES-87671008,4,,0,0,
OCESN14140F254304:2021-03-04T18:51:09Z,09:25:00,09:27:00,StopPoint:OCEINTERCITES-87611137,5,,0,0,
OCESN14140F254304:2021-03-04T18:51:09Z,10:25:00,10:25:00,StopPoint:OCEINTERCITES-87611004,6,,1,0,
OCESN14141F108219:2021-03-08T18:51:30Z,09:38:00,09:38:00,StopPoint:OCEINTERCITES-87611004,0,,0,1,
OCESN14141F108219:2021-03-08T18:51:30Z,10:36:00,10:38:00,StopPoint:OCEINTERCITES-87611152,1,,0,0,
OCESN14141F108219:2021-03-08T18:51:30Z,11:12:00,11:12:00,StopPoint:OCEINTERCITES-87671008,2,,1,0,
OCESN14141F108889:2021-03-08T18:51:30Z,11:15:00,11:15:00,StopPoint:OCEINTERCITES-87671008,0,,0,1,
OCESN14141F108889:2021-03-08T18:51:30Z,11:28:00,11:31:00,StopPoint:OCEINTERCITES-87671339,1,,0,0,
OCESN14141F108889:2021-03-08T18:51:30Z,11:57:00,12:00:00,StopPoint:OCEINTERCITES-87672006,2,,0,0,
OCESN14141F108889:2021-03-08T18:51:30Z,12:21:00,12:23:00,StopPoint:OCEINTERCITES-87672253,3,,0,0,
OCESN14141F108889:2021-03-08T18:51:30Z,13:06:00,13:06:00,StopPoint:OCEINTERCITES-87673004,4,,1,0,
OCESN14141F237335:2021-03-09T18:51:45Z,09:38:00,09:38:00,StopPoint:OCEINTERCITES-87611004,0,,0,1,
