from_stop_id,to_stop_id,transfer_type,min_transfer_time
StopPoint:DUA8775859,StopPoint:DUA8728189,2,912
StopPoint:DUA8754700,StopPoint:DUA8754702,2,60
StopPoint:DUA8754702,StopPoint:DUA8754700,2,924
StopPoint:DUA8759118,StopPoint:DUA8711300,2,279
StopPoint:DUA8759118,StopPoint:DUA8759492,2,946
StopPoint:DUA8759118,StopPoint:DUA8727100,2,778
StopPoint:DUA8759118,StopPoint:DUA8727102,2,778
StopPoint:DUA8759118,StopPoint:DUA8727103,2,778
StopPoint:DUA8711300,StopPoint:DUA8759118,2,325
StopPoint:DUA8711300,StopPoint:DUA8759492,2,1008
StopPoint:DUA8711300,StopPoint:DUA8727100,2,840
StopPoint:DUA8711300,StopPoint:DUA8727102,2,840
StopPoint:DUA8711300,StopPoint:DUA8727103,2,840
StopPoint:DUA8739100,StopPoint:DUA8759115,2,306
StopPoint:DUA8759115,StopPoint:DUA8739100,2,284
StopPoint:DUA8759492,StopPoint:DUA8759118,2,946
StopPoint:DUA8759492,StopPoint:DUA8711300,2,1008
StopPoint:DUA8759492,StopPoint:DUA8727100,2,546
StopPoint:DUA8759492,StopPoint:DUA8727102,2,671
StopPoint:DUA8759492,StopPoint:DUA8727103,2,546
StopPoint:DUA8759492,StopPoint:DUA8728187,2,1287
StopPoint:DUA8727100,StopPoint:DUA8759118,2,778
StopPoint:DUA8727100,StopPoint:DUA8711300,2,840
StopPoint:DUA8727100,StopPoint:DUA8759492,2,412
StopPoint:DUA8727100,StopPoint:DUA8727102,2,924
StopPoint:DUA8727100,StopPoint:DUA8727103,2,672
StopPoint:DUA8727100,StopPoint:DUA8728187,2,1056
StopPoint:DUA8727102,StopPoint:DUA8759118,2,778
StopPoint:DUA8727102,StopPoint:DUA8711300,2,840
StopPoint:DUA8727102,StopPoint:DUA8759492,2,292
StopPoint:DUA8727102,StopPoint:DUA8727100,2,99
StopPoint:DUA8727102,StopPoint:DUA8727103,2,71
StopPoint:DUA8727102,StopPoint:DUA8728187,2,1140
StopPoint:DUA8727103,StopPoint:DUA8759118,2,778
StopPoint:DUA8727103,StopPoint:DUA8711300,2,840
StopPoint:DUA8727103,StopPoint:DUA8759492,2,292
StopPoint:DUA8727103,StopPoint:DUA8727100,2,102
StopPoint:DUA8727103,StopPoint:DUA8727102,2,420
StopPoint:DUA8727103,StopPoint:DUA8728187,2,1140
StopPoint:DUA8738400,StopPoint:DUA8728189,2,912
StopPoint:DUA8728189,StopPoint:DUA8775859,2,605
StopPoint:DUA8728189,StopPoint:DUA8738400,2,840
StopPoint:DUA8728187,StopPoint:DUA8759492,2,744
StopPoint:DUA8728187,StopPoint:DUA8727100,2,576
StopPoint:DUA8728187,StopPoint:DUA8727102,2,588
StopPoint:DUA8728187,StopPoint:DUA8727103,2,588
StopPoint:DUA8768600,StopPoint:DUA8768603,2,420
StopPoint:DUA8768600,StopPoint:DUA8775858,2,263
StopPoint:DUA8768603,StopPoint:DUA8768600,2,94
StopPoint:DUA8768603,StopPoint:DUA8775858,2,263
StopPoint:DUA8775858,StopPoint:DUA8768600,2,420
StopPoint:DUA8775858,StopPoint:DUA8768603,2,420
StopPoint:DUA8778543,StopPoint:DUA8754731,2,104
StopPoint:DUA8754731,StopPoint:DUA8778543,2,420
StopPoint:DUA8749577,StopPoint:DUA8741455,2,624
StopPoint:DUA8741455,StopPoint:DUA8749577,2,613
StopPoint:DUA8739384,StopPoint:DUA8759185,2,275
StopPoint:DUA8759185,StopPoint:DUA8739384,2,273
StopPoint:DUA8739322,StopPoint:DUA8759183,2,631
StopPoint:DUA8759183,StopPoint:DUA8739322,2,536
StopPoint:DUA8741453,StopPoint:DUA8741449,2,639
StopPoint:DUA8739383,StopPoint:DUA8759186,2,425
StopPoint:DUA8759186,StopPoint:DUA8739383,2,425
StopPoint:DUA8741449,StopPoint:DUA8741453,2,624
StopPoint:DUA8739325,StopPoint:DUA8759187,2,275
StopPoint:DUA8759187,StopPoint:DUA8739325,2,265
StopPoint:DUA8739315,StopPoint:DUA8759182,2,261
StopPoint:DUA8759182,StopPoint:DUA8739315,2,271
StopPoint:DUA8739316,StopPoint:DUA8759180,2,271
StopPoint:DUA8759180,StopPoint:DUA8739316,2,270
StopPoint:DUA8739300,StopPoint:DUA8759181,2,201
StopPoint:DUA8759181,StopPoint:DUA8739300,2,202
StopPoint:DUA8739321,StopPoint:DUA8759179,2,564
StopPoint:DUA8759179,StopPoint:DUA8739321,2,564
StopPoint:DUA8739357,StopPoint:DUA8775879,2,829
StopPoint:DUA8775879,StopPoint:DUA8739357,2,921
StopPoint:DUA8775878,StopPoint:DUA8738328,2,514
StopPoint:DUA8738328,StopPoint:DUA8775878,2,156
StopPoint:DUA8738233,StopPoint:DUA8759178,2,846
StopPoint:DUA8739320,StopPoint:DUA8759178,2,895
StopPoint:DUA8759178,StopPoint:DUA8738233,2,636
StopPoint:DUA8759178,StopPoint:DUA8739320,2,895
StopPoint:DUA8738221,StopPoint:DUA8775801,2,323
StopPoint:DUA8775801,StopPoint:DUA8738221,2,1058
StopPoint:DUA8738631,StopPoint:DUA8775803,2,60
StopPoint:DUA8775803,StopPoint:DUA8738631,2,420
StopPoint:DUA8739312,StopPoint:DUA8759116,2,555
StopPoint:DUA8759116,StopPoint:DUA8739312,2,554
StopPoint:DUA8769735,StopPoint:DUA8727139,2,353
StopPoint:DUA8727139,StopPoint:DUA8769735,2,354
StopPoint:DUA8727114,StopPoint:DUA8769729,2,139
StopPoint:DUA8769729,StopPoint:DUA8727114,2,141
StopPoint:DUA8727112,StopPoint:DUA8769730,2,223
StopPoint:DUA8769730,StopPoint:DUA8727112,2,186
StopPoint:DUA8769732,StopPoint:DUA8727116,2,967
StopPoint:DUA8727116,StopPoint:DUA8769732,2,966
StopPoint:DUA8711371,StopPoint:DUA8775830,2,207
StopPoint:DUA8775830,StopPoint:DUA8711371,2,460
StopPoint:DUA8727605,StopPoint:DUA8753413,2,249
StopPoint:DUA8753413,StopPoint:DUA8727605,2,266
