route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,trip_type
1,000001,88____:007::8841673:8841004:6:559:20201212,Namur,106,,1,,1
2,000001,88____:046::8841004:8863008:20:722:20201212,Namur,4977,,1,,1
3,000002,88____:007::8841673:8845005:18:723:20200520,Luxembourg (LU),106,,2,,1
3,000002,88____:007::8845005:8200136:3:734:20200520,Luxembourg (LU),106,,2,,1
3,000021,88____:007::8845005:8200136:3:734:20200430,Luxembourg (LU),106,,3,,1
3,000002,82____:007::8200136:8200100:10:843:20200520,Luxembourg (LU),106,,2,,1
3,000021,82____:007::8200136:8200100:10:843:20200430,Luxembourg (LU),106,,3,,1
3,000034,88____:007::8841673:8841004:6:559:20201212:1,Luxembourg (LU),106,,4,,1
3,000029,88____:007::8841673:8841004:6:559:20201129,Luxembourg (LU),106,,5,,1
3,000034,88____:007::8841004:8842705:8:629:20201212,Luxembourg (LU),106,,4,,1
3,000029,88____:007::8841004:8842705:8:629:20201129,Luxembourg (LU),106,,5,,1
3,004378,88____:007::8841004:8842705:8:629:20200816,Luxembourg (LU),106,,6,,1
3,005693,88____:007::8841004:8842705:8:629:20200830,Luxembourg (LU),106,,7,,1
3,000034,88____:007::8842705:8845005:6:723:20201212,Luxembourg (LU),106,,4,,1
3,000029,88____:007::8842705:8845005:6:723:20201129,Luxembourg (LU),106,,5,,1
3,004378,88____:007::8842705:8845005:6:723:20200816,Luxembourg (LU),106,,6,,1
3,005693,88____:007::8842705:8845005:6:723:20200830,Luxembourg (LU),106,,7,,1
3,000048,88____:007::8842705:8845005:6:723:20200524,Luxembourg (LU),106,,8,,1
3,000034,88____:007::8845005:8200136:3:734:20201212,Luxembourg (LU),106,,4,,1
3,000029,88____:007::8845005:8200136:3:734:20201129,Luxembourg (LU),106,,5,,1
3,004378,88____:007::8845005:8200136:3:734:20200816,Luxembourg (LU),106,,6,,1
3,005693,88____:007::8845005:8200136:3:734:20200830,Luxembourg (LU),106,,7,,1
3,000048,88____:007::8845005:8200136:3:734:20200524,Luxembourg (LU),106,,8,,1
3,000161,88____:007::8845005:8200136:3:734:20200426,Luxembourg (LU),106,,9,,1
3,000034,82____:007::8200136:8200120:7:814:20201212,Luxembourg (LU),106,,4,,1
3,000029,82____:007::8200136:8200120:7:814:20201129,Luxembourg (LU),106,,5,,1
3,004378,82____:007::8200136:8200120:7:814:20200816,Luxembourg (LU),106,,6,,1
3,005693,82____:007::8200136:8200120:7:814:20200830,Luxembourg (LU),106,,7,,1
3,000048,82____:007::8200136:8200120:7:814:20200524,Luxembourg (LU),106,,8,,1
3,000161,82____:007::8200136:8200120:7:814:20200426,Luxembourg (LU),106,,9,,1
3,000034,82____:007::8200120:8200100:4:843:20201212,Luxembourg (LU),106,,4,,1
3,004378,82____:007::8200120:8200100:4:843:20200816,Luxembourg (LU),106,,6,,1
3,000048,82____:007::8200120:8200100:4:843:20200524,Luxembourg (LU),106,,8,,1
3,000161,82____:007::8200120:8200100:4:843:20200426,Luxembourg (LU),106,,9,,1
3,004363,88____:007::8841673:8841004:6:559:20201211,Luxembourg (LU),106,,10,,1
3,000031,88____:007::8841673:8841004:6:559:20200909,Luxembourg (LU),106,,11,,1
3,004363,88____:007::8841004:8200136:15:734:20201211,Luxembourg (LU),106,,10,,1
3,000031,88____:007::8841004:8200136:15:734:20200909,Luxembourg (LU),106,,11,,1
3,005694,88____:007::8841004:8200136:15:734:20200821,Luxembourg (LU),106,,12,,1
3,005695,88____:007::8841004:8200136:15:734:20200828,Luxembourg (LU),106,,13,,1
3,004363,82____:007::8200136:8200120:7:813:20201211,Luxembourg (LU),106,,10,,1
3,000031,82____:007::8200136:8200120:7:813:20200909,Luxembourg (LU),106,,11,,1
3,005694,82____:007::8200136:8200120:7:813:20200821,Luxembourg (LU),106,,12,,1
3,005695,82____:007::8200136:8200120:7:813:20200828,Luxembourg (LU),106,,13,,1
3,004363,82____:007::8200120:8200100:4:843:20201211,Luxembourg (LU),106,,10,,1
3,005694,82____:007::8200120:8200100:4:843:20200821,Luxembourg (LU),106,,12,,1
3,000013,88____:007::8841673:8200136:20:734:20200503,Luxembourg (LU),106,,14,,1
3,000949,88____:007::8841673:8200136:20:734:20200517,Luxembourg (LU),106,,15,,1
3,000013,82____:007::8200136:8200120:7:814:20200503,Luxembourg (LU),106,,14,,1
3,000949,82____:007::8200136:8200120:7:814:20200517,Luxembourg (LU),106,,15,,1
3,000013,82____:007::8200120:8200100:4:843:20200503,Luxembourg (LU),106,,14,,1
4,000014,88____:007::8841673:8841004:6:559:20201018,Troisvierges (LU),106,,16,,1
4,000014,88____:007::8841004:8200136:15:734:20201018,Troisvierges (LU),106,,16,,1
4,005696,88____:007::8841004:8200136:15:734:20200705,Troisvierges (LU),106,,17,,1
5,000016,88____:007::8845203:8200136:5:734:20200424,Luxembourg (LU),106,,18,,1
5,000016,82____:007::8200136:8200100:10:843:20200424,Luxembourg (LU),106,,18,,1
6,000017,88____:007::8845005:8841673:18:827:20201211,Liers,107,,19,,1
6,000002,88____:007::8845005:8841673:18:827:20200520,Liers,107,,20,,1
6,000012,88____:007::8845005:8841673:18:824:20200517,Liers,107,,21,,1
