route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCESN-1998130,000001,OCESN13101F274333:2021-03-09T18:51:45Z,13101,1,1,
OCESN-1998130,000001,OCESN13102F275321:2021-03-09T18:51:45Z,13102,0,2,
OCESN-1998130,000002,OCESN13103F270470:2021-03-07T18:51:13Z,13103,1,3,
OCESN-1998130,000001,OCESN13103F275317:2021-03-09T18:51:45Z,13103,1,4,
OCESN-1998130,000003,OCESN13103F275331:2021-03-09T18:51:45Z,13103,1,5,
OCESN-1998130,000001,OCESN13105F273487:2021-03-09T18:51:45Z,13105,1,6,
OCESN-1998130,000003,OCESN13105F274932:2021-03-09T18:51:45Z,13105,1,7,
OCESN-1998130,000001,OCESN13106F275141:2021-03-09T18:51:45Z,13106,0,8,
OCESN-1998130,000004,OCESN13107F183817:2021-03-05T18:50:34Z,13107,1,9,
OCESN-1998130,000005,OCESN13107F273249:2021-03-09T18:51:45Z,13107,1,10,
OCESN-1998130,000001,OCESN13107F274944:2021-03-09T18:51:45Z,13107,1,11,
OCESN-1998130,000006,OCESN13107F276591:2021-03-09T18:51:45Z,13107,1,12,
OCESN-1998130,000004,OCESN13108F199455:2021-03-07T18:51:13Z,13108,0,13,
OCESN-1998130,000007,OCESN13108F199555:2021-03-07T18:51:13Z,13108,0,14,
OCESN-1998130,000008,OCESN13108F257902:2021-03-09T18:51:45Z,13108,0,15,
OCESN-1998130,000009,OCESN13108F263254:2021-03-08T18:51:30Z,13108,0,16,
OCESN-1998130,000003,OCESN13108F271341:2021-03-07T18:51:13Z,13108,0,17,
OCESN-1998130,000001,OCESN13110F275316:2021-03-09T18:51:45Z,13110,0,18,
OCESN-1998130,000010,OCESN13111F271264:2021-03-07T18:51:13Z,13111,1,19,
OCESN-1998130,000011,OCESN13111F273367:2021-03-09T18:51:45Z,13111,1,20,
OCESN-1998130,000009,OCESN13112F175415:2021-03-07T18:51:13Z,13112,0,21,
OCESN-1998130,000007,OCESN13112F180150:2021-03-08T18:51:30Z,13112,0,22,
OCESN-1998130,000003,OCESN13112F263757:2021-03-04T18:51:09Z,13112,0,23,
OCESN-1998130,000001,OCESN13112F273125:2021-03-09T18:51:45Z,13112,0,24,
OCESN-1998130,000010,OCESN13114F271238:2021-03-08T18:51:30Z,13114,0,25,
OCESN-1998130,000011,OCESN13114F275212:2021-03-09T18:51:45Z,13114,0,26,
OCESN-1998130,000012,OCESN13115F273180:2021-03-09T18:51:45Z,13115,1,27,
OCESN-1998130,000011,OCESN13116F271290:2021-03-09T18:51:45Z,13116,0,28,
OCESN-1998130,000010,OCESN13116F276088:2021-03-09T18:51:45Z,13116,0,29,
OCESN-1998130,000004,OCESN13119F156724:2021-03-09T18:51:45Z,13119,1,30,
OCESN-1998130,000013,OCESN13119F270636:2021-03-06T18:51:50Z,13119,1,31,
OCESN-1998130,000008,OCESN13119F275247:2021-03-09T18:51:45Z,13119,1,32,
OCESN-1998130,000014,OCESN13119F276724:2021-03-09T18:51:45Z,13119,1,33,
OCESN-1998130,000001,OCESN13120F269355:2021-03-09T18:51:45Z,13120,0,34,
OCESN-1998130,000015,OCESN13120F276625:2021-03-09T18:51:45Z,13120,0,35,
OCESN-1998130,000016,OCESN13122F157732:2021-03-09T18:51:45Z,13122,0,36,
OCESN-1998130,000004,OCESN13122F260025:2021-03-05T18:50:34Z,13122,0,37,
OCESN-1998130,000007,OCESN13122F260051:2021-03-09T18:51:45Z,13122,0,38,
OCESN-1998130,000017,OCESN13122F275264:2021-03-09T18:51:45Z,13122,0,39,
OCESN-1998130,000018,OCESN13122F275299:2021-03-09T18:51:45Z,13122,0,40,
OCESN-1998130,000019,OCESN13122F275342:2021-03-09T18:51:45Z,13122,0,41,
OCESN-1998130,000003,OCESN13123F259792:2021-03-09T18:51:45Z,13123,1,42,
OCESN-1998130,000002,OCESN13123F270529:2021-03-09T18:51:45Z,13123,1,43,
OCESN-1998130,000001,OCESN13123F275004:2021-03-09T18:51:45Z,13123,1,44,
OCESN-1998130,000001,OCESN13126F273191:2021-03-09T18:51:45Z,13126,0,45,
OCESN-1998130,000013,OCESN13128F263163:2021-03-07T18:51:13Z,13128,0,46,
OCESN-1998130,000005,OCESN13128F272475:2021-03-09T18:51:45Z,13128,0,47,
OCESN-1998130,000001,OCESN13129F273354:2021-03-09T18:51:45Z,13129,1,48,
OCESN-1998130,000001,OCESN13130F265788:2021-03-09T18:51:45Z,13130,0,49,
OCESN-1998130,000002,OCESN13130F270628:2021-03-09T18:51:45Z,13130,0,50,
OCESN-1998130,000003,OCESN13130F275283:2021-03-09T18:51:45Z,13130,0,51,
OCESN-1998130,000007,OCESN13130F276714:2021-03-09T18:51:45Z,13130,0,52,
OCESN-1998130,000009,OCESN13131F225145:2021-03-02T18:51:04Z,13131,1,53,
OCESN-1998130,000020,OCESN13131F270531:2021-03-09T18:51:45Z,13131,1,54,
OCESN-1998130,000021,OCESN13131F273146:2021-03-08T18:51:30Z,13131,1,55,
OCESN-1998130,000001,OCESN13131F275528:2021-03-09T18:51:45Z,13131,1,56,
OCESN-1998130,000001,OCESN13132F258387:2021-03-09T18:51:45Z,13132,0,57,
OCESN-1998130,000021,OCESN13132F267719:2021-03-07T18:51:13Z,13132,0,58,
OCESN-1998130,000013,OCESN13132F270479:2021-03-08T18:51:30Z,13132,0,59,
OCESN-1998130,000020,OCESN13132F274375:2021-03-09T18:51:45Z,13132,0,60,
OCESN-1998130,000001,OCESN13133F261991:2021-03-09T18:51:45Z,13133,1,61,
OCESN-1998130,000001,OCESN13134F275579:2021-03-09T18:51:45Z,13134,0,62,
OCESN-1998130,000002,OCESN13136F268846:2021-03-09T18:51:45Z,13136,0,63,
OCESN-1998130,000013,OCESN13136F270556:2021-03-09T18:51:45Z,13136,0,64,
OCESN-1998130,000007,OCESN13136F270561:2021-03-09T18:51:45Z,13136,0,65,
OCESN-1998130,000021,OCESN13136F272888:2021-03-09T18:51:45Z,13136,0,66,
OCESN-1998130,000020,OCESN13137F156707:2021-03-08T18:51:30Z,13137,1,67,
OCESN-1998130,000013,OCESN13137F270558:2021-03-09T18:51:45Z,13137,1,68,
OCESN-1998130,000022,OCESN13137F271105:2021-03-09T18:51:45Z,13137,1,69,
OCESN-1998130,000001,OCESN13138F273161:2021-03-09T18:51:45Z,13138,0,70,
OCESN-1998130,000015,OCESN13138F276505:2021-03-09T18:51:45Z,13138,0,71,
OCESN-1209988,000023,OCESN14030F269692:2021-03-09T18:51:45Z,14030,0,72,
OCESN-1209988,000024,OCESN14030F273159:2021-03-09T18:51:45Z,14030,0,73,
OCESN-1209988,000023,OCESN14031F276623:2021-03-09T18:51:45Z,14031,1,74,
OCESN-1209988,000023,OCESN14032F275230:2021-03-09T18:51:45Z,14032,0,75,
OCESN-1209988,000025,OCESN14033F108783:2021-03-09T18:51:45Z,14033,1,76,
OCESN-1209988,000026,OCESN14033F201290:2021-03-09T18:51:45Z,14033,1,77,
OCESN-1209988,000004,OCESN14033F247419:2021-03-09T18:51:45Z,14033,1,78,
OCESN-1209988,000027,OCESN14033F274958:2021-03-09T18:51:45Z,14033,1,79,
OCESN-1209988,000023,OCESN14033F276626:2021-03-09T18:51:45Z,14033,1,80,
OCESN-1209988,000028,OCESN14034F155968:2021-03-09T18:51:45Z,14034,0,81,
OCESN-1209988,000029,OCESN14034F273163:2021-03-08T18:51:30Z,14034,0,82,
OCESN-1209988,000023,OCESN14035F274918:2021-03-09T18:51:45Z,14035,1,83,
OCESN-1209988,000023,OCESN14036F276592:2021-03-09T18:51:45Z,14036,0,84,
OCESN-1209988,000030,OCESN14037F224029:2021-03-08T18:51:30Z,14037,1,85,
OCESN-1209988,000031,OCESN14037F275322:2021-03-09T18:51:45Z,14037,1,86,
OCESN-1209988,000032,OCESN14038F247091:2021-03-08T18:51:30Z,14038,0,87,
OCESN-1209988,000033,OCESN14038F273165:2021-03-09T18:51:45Z,14038,0,88,
OCESN-1209988,000023,OCESN14040F263942:2021-03-09T18:51:45Z,14040,0,89,
OCESN-1209988,000025,OCESN14041F110217:2021-03-09T18:51:45Z,14041,1,90,
OCESN-1209988,000026,OCESN14041F201347:2021-03-07T18:51:13Z,14041,1,91,
OCESN-1209988,000034,OCESN14041F220772:2021-03-09T18:51:45Z,14041,1,92,
OCESN-1209988,000035,OCESN14041F265162:2021-03-09T18:51:45Z,14041,1,93,
OCESN-1209988,000036,OCESN14041F269485:2021-03-09T18:51:45Z,14041,1,94,
OCESN-1209988,000037,OCESN14043F275184:2021-03-09T18:51:45Z,14043,1,95,
OCESN-1209988,000038,OCESN14044F271239:2021-03-09T18:51:45Z,14044,0,96,
OCESN-1209988,000032,OCESN14045F247247:2021-03-03T18:51:00Z,14045,1,97,
OCESN-1209988,000039,OCESN14045F275328:2021-03-09T18:51:45Z,14045,1,98,
OCESN-1209988,000040,OCESN14047F160791:2021-03-09T18:51:45Z,14047,1,99,
OCESN-1209988,000041,OCESN14047F273118:2021-03-08T18:51:30Z,14047,1,100,
OCESN-1209988,000042,OCESN14047F274970:2021-03-09T18:51:45Z,14047,1,101,
OCESN-1209988,000043,OCESN14048F191896:2021-03-09T18:51:45Z,14048,0,102,
OCESN-1209988,000044,OCESN14048F262587:2021-03-09T18:51:45Z,14048,0,103,
OCESN-1209988,000045,OCESN14048F273168:2021-03-08T18:51:30Z,14048,0,104,
OCESN-1209988,000046,OCESN14048F273560:2021-03-08T18:51:30Z,14048,0,105,
OCESN-1209988,000047,OCESN14048F275253:2021-03-09T18:51:45Z,14048,0,106,
OCESN-1209988,000048,OCESN14048F275370:2021-03-09T18:51:45Z,14048,0,107,
OCESN-1209988,000049,OCESN14049F267717:2021-03-05T18:50:34Z,14049,1,108,
OCESN-1209988,000023,OCESN14049F276600:2021-03-09T18:51:45Z,14049,1,109,
OCESN-1209988,000050,OCESN14050F267020:2021-03-09T18:51:45Z,14050,0,110,
OCESN-1209988,000051,OCESN14050F271424:2021-03-08T18:51:30Z,14050,0,111,
OCESN-1209988,000026,OCESN14052F222613:2021-03-09T18:51:45Z,14052,0,112,
OCESN-1209988,000025,OCESN14052F254310:2021-03-09T18:51:45Z,14052,0,113,
