route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCESN-1209972,000001,OCESN2052F198219:2021-02-19T18:51:30Z,2052,,1,
OCESN-1209972,000002,OCESN2052F224808:2021-02-20T18:50:55Z,2052,,2,
OCESN-1209972,000003,OCESN2060F160675:2021-02-19T18:51:30Z,2060,0,3,
OCESN-1209972,000004,OCESN2060F192057:2021-02-21T18:50:52Z,2060,0,4,
OCESN-1209972,000005,OCESN2060F212734:2021-02-21T18:50:52Z,2060,0,5,
OCESN-1209972,000006,OCESN2060F223862:2021-02-19T18:51:30Z,2060,0,6,
OCESN-1209972,000007,OCESN2061F220475:2021-02-21T18:50:52Z,2061,,7,
OCESN-1209972,000008,OCESN2061F225400:2021-02-21T18:50:52Z,2061,,8,
OCESN-1209972,000009,OCESN2062F209451:2021-02-21T18:50:52Z,2062,0,9,
OCESN-1209972,000010,OCESN2062F226245:2021-02-21T18:50:52Z,2062,0,10,
OCESN-1209972,000011,OCESN2077F225126:2021-02-21T18:50:52Z,2077,1,11,
OCESN-1209972,000012,OCESN2088F193191:2021-02-19T18:51:30Z,2088,0,12,
OCESN-1209972,000013,OCESN2088F201293:2021-02-21T18:50:52Z,2088,0,13,
OCESN-1209972,000014,OCESN2088F202406:2021-02-21T18:50:52Z,2088,0,14,
OCESN-1209972,000015,OCESN2088F214832:2021-02-21T18:50:52Z,2088,0,15,
OCESN-1209972,000016,OCESN2091F107017:2021-02-21T18:50:52Z,2091,1,16,
OCESN-1209972,000002,OCESN2091F225665:2021-02-21T18:50:52Z,2091,1,17,
OCESN-1209971,000017,OCESN2223F207626:2021-02-21T18:50:52Z,2223,,18,
OCESN-143,000018,OCESN2234F206374:2021-02-21T18:50:52Z,2234,0,19,
OCESN-143,000019,OCESN2249F209736:2021-02-19T18:51:30Z,2249,1,20,
OCESN-141,000020,OCESN2253F211519:2021-02-21T18:50:52Z,2253,1,21,
OCESN-141,000017,OCESN2255F222856:2021-02-21T18:50:52Z,2255,1,22,
OCESN-141,000019,OCESN2262F203578:2021-02-21T18:50:52Z,2262,0,23,
OCESN-1209972,000021,OCESN2350F160129:2021-02-21T18:50:52Z,2350,0,24,
OCESN-1209972,000022,OCESN2350F201752:2021-02-19T18:51:30Z,2350,0,25,
OCESN-1209972,000023,OCESN2350F225592:2021-02-21T18:50:52Z,2350,0,26,
OCESN-1209972,000024,OCESN2362F201171:2021-02-21T18:50:52Z,2362,0,27,
OCESN-1209972,000025,OCESN2362F224597:2021-02-21T18:50:52Z,2362,0,28,
OCESN-1209972,000026,OCESN2364F160665:2021-02-19T18:51:30Z,2364,0,29,
OCESN-1209972,000027,OCESN2364F208829:2021-02-19T13:09:32Z,2364,0,30,
OCESN-1209972,000028,OCESN2369F169752:2021-02-21T18:50:52Z,2369,1,31,
OCESN-1209972,000029,OCESN2369F183072:2021-02-21T18:50:52Z,2369,1,32,
OCESN-1209972,000024,OCESN2369F201169:2021-02-21T18:50:52Z,2369,1,33,
OCESN-1209972,000030,OCESN2369F216652:2021-02-19T13:09:32Z,2369,1,34,
OCESN-1209972,000031,OCESN2371F160664:2021-02-20T18:50:55Z,2371,1,35,
OCESN-1209972,000032,OCESN2371F182933:2021-02-19T18:51:30Z,2371,1,36,
OCESN-1209972,000002,OCESN2371F205904:2021-02-19T13:09:32Z,2371,1,37,
OCESN-1209972,000033,OCESN2371F223977:2021-02-20T18:50:55Z,2371,1,38,
OCESN-1209972,000034,OCESN2377F69057:2021-02-19T13:09:32Z,2377,1,39,
OCESN-1209972,000035,OCESN2377F186106:2021-02-21T18:50:52Z,2377,1,40,
OCESN-1209972,000009,OCESN2377F201160:2021-02-19T13:09:32Z,2377,1,41,
OCESN-1209972,000036,OCESN2377F201191:2021-02-21T18:50:52Z,2377,1,42,
OCESN-1209972,000037,OCESN2377F208298:2021-02-19T13:09:32Z,2377,1,43,
OCESN-1209972,000038,OCESN2377F223052:2021-02-19T18:51:30Z,2377,1,44,
OCESN-1209972,000039,OCESN2404F157762:2021-02-19T18:51:30Z,2404,0,45,
OCESN-1209972,000030,OCESN2404F224414:2021-02-21T18:50:52Z,2404,0,46,
OCESN-1209972,000031,OCESN2407F160678:2021-02-20T18:50:55Z,2407,1,47,
OCESN-1209972,000040,OCESN2407F170696:2021-02-21T18:50:52Z,2407,1,48,
OCESN-1209972,000041,OCESN2407F182883:2021-02-21T18:50:52Z,2407,1,49,
OCESN-1209972,000023,OCESN2407F208766:2021-02-19T13:09:32Z,2407,1,50,
OCESN-1209972,000002,OCESN2407F225547:2021-02-21T18:50:52Z,2407,1,51,
OCESN-1209972,000042,OCESN2409F116987:2021-02-21T18:50:52Z,2409,1,52,
OCESN-1209972,000043,OCESN2409F177480:2021-02-21T18:50:52Z,2409,1,53,
OCESN-1209972,000030,OCESN2409F211440:2021-02-19T13:09:32Z,2409,1,54,
OCESN-1209972,000044,OCESN2430F60629:2021-02-19T13:09:32Z,2430,0,55,
OCESN-1209972,000045,OCESN2430F225425:2021-02-21T18:50:52Z,2430,0,56,
OCESN-1209972,000046,OCESN2431F182926:2021-02-21T18:50:52Z,2431,1,57,
OCESN-1209972,000047,OCESN2431F224418:2021-02-20T18:50:55Z,2431,1,58,
OCESN-1209972,000048,OCESN2440F160149:2021-02-19T18:51:30Z,2440,0,59,
OCESN-1209972,000049,OCESN2440F224391:2021-02-20T18:50:55Z,2440,0,60,
OCESN-1209972,000050,OCESN2450F160746:2021-02-20T18:50:55Z,2450,0,61,
OCESN-1209972,000051,OCESN2450F225331:2021-02-21T18:50:52Z,2450,0,62,
OCESN-1209972,000052,OCESN2454F160661:2021-02-21T18:50:52Z,2454,0,63,
OCESN-1209972,000053,OCESN2454F160677:2021-02-20T18:50:55Z,2454,0,64,
OCESN-1209972,000038,OCESN2454F224364:2021-02-20T18:50:55Z,2454,0,65,
OCESN-1209972,000054,OCESN2454F225294:2021-02-21T18:50:52Z,2454,0,66,
OCESN-1209972,000055,OCESN2465F225463:2021-02-21T18:50:52Z,2465,1,67,
OCESN-1209972,000053,OCESN2470F162871:2021-02-19T18:51:30Z,2470,0,68,
OCESN-1209972,000038,OCESN2470F209990:2021-02-19T13:09:32Z,2470,0,69,
OCESN-1209972,000056,OCESN2471F185362:2021-02-21T18:50:52Z,2471,1,70,
OCESN-1209972,000038,OCESN2471F225728:2021-02-21T18:50:52Z,2471,1,71,
OCESN-1209972,000027,OCESN2474F116229:2021-02-18T19:09:53Z,2474,0,72,
OCESN-1209972,000057,OCESN2474F163539:2021-02-21T18:50:52Z,2474,0,73,
OCESN-143,000058,OCESN2501F210713:2021-02-19T13:09:32Z,2501,,74,
OCESN-143,000059,OCESN2503F210725:2021-02-19T13:09:32Z,2503,,75,
OCESN-143,000060,OCESN2505F225544:2021-02-21T18:50:52Z,2505,,76,
OCESN-143,000059,OCESN2511F208659:2021-02-19T18:51:30Z,2511,,77,
OCESN-143,000058,OCESN2515F223089:2021-02-21T18:50:52Z,2515,,78,
OCESN-143,000059,OCESN2517F61902:2021-02-20T18:50:55Z,2517,,79,
OCESN-143,000061,OCESN2519F225594:2021-02-21T18:50:52Z,2519,,80,
OCESN-143,000017,OCESN2527F208664:2021-02-20T18:50:55Z,2527,,81,
OCESN-143,000058,OCESN2530F224430:2021-02-20T18:50:55Z,2530,0,82,
OCESN-143,000031,OCESN2534F160731:2021-02-21T18:50:52Z,2534,0,83,
OCESN-143,000062,OCESN2534F225540:2021-02-21T18:50:52Z,2534,0,84,
OCESN-143,000061,OCESN2536F213049:2021-02-19T18:51:30Z,2536,0,85,
OCESN-143,000063,OCESN2536F225644:2021-02-21T18:50:52Z,2536,0,86,
OCESN-143,000036,OCESN2540F110197:2021-02-20T18:50:55Z,2540,0,87,
OCESN-143,000006,OCESN2540F201987:2021-02-18T19:09:53Z,2540,0,88,
OCESN-143,000064,OCESN2540F220723:2021-02-19T13:09:32Z,2540,0,89,
OCESN-143,000065,OCESN2540F223329:2021-02-19T18:51:30Z,2540,0,90,
OCESN-143,000066,OCESN2540F225045:2021-02-20T18:50:55Z,2540,0,91,
OCESN-143,000060,OCESN2548F225684:2021-02-21T18:50:52Z,2548,0,92,
OCESN-143,000067,OCESN2550F210749:2021-02-21T18:50:52Z,2550,0,93,
OCESN-143,000019,OCESN2552F224340:2021-02-20T18:50:55Z,2552,0,94,
OCESN-143,000031,OCESN2571F160700:2021-02-21T18:50:52Z,2571,,95,
OCESN-143,000068,OCESN2571F205965:2021-02-19T18:51:30Z,2571,,96,
OCESN-143,000069,OCESN2573F210675:2021-02-19T18:51:30Z,2573,,97,
OCESN-143,000070,OCESN2573F223115:2021-02-21T18:50:52Z,2573,,98,
OCESN-143,000071,OCESN2573F225423:2021-02-21T18:50:52Z,2573,,99,
OCESN-143,000072,OCESN2573F225662:2021-02-21T18:50:52Z,2573,,100,
OCESN-143,000058,OCESN2574F213990:2021-02-19T18:51:30Z,2574,0,101,
OCESN-143,000073,OCESN2576F199474:2021-02-21T18:50:52Z,2576,0,102,
OCESN-143,000074,OCESN2578F110233:2021-02-19T18:51:30Z,2578,0,103,
