route_id,service_id,trip_id,trip_headsign,route_long_name,hash,hash_inverse
1,1,88____:007::8841673:8841004:6:559:20201212,Namur,Liège-Guillemins -- Liers,-4.288362932254336e+18,-6.465769007291632e+18
1,48,88____:007::8841673:8841004:6:528:20200524,Liège-Guillemins,Liège-Guillemins -- Liers,-4.288362932254336e+18,-6.465769007291632e+18
1,48,88____:007::8841004:8841673:6:857:20200524,Liers,Liège-Guillemins -- Liers,-6.465769007291632e+18,-4.288362932254336e+18
1,48,88____:007::8841673:8841004:6:728:20200524,Liège-Guillemins,Liège-Guillemins -- Liers,-4.288362932254336e+18,-6.465769007291632e+18
1,48,88____:007::8841004:8841673:6:1057:20200524,Liers,Liège-Guillemins -- Liers,-6.465769007291632e+18,-4.288362932254336e+18
1,48,88____:007::8841673:8841004:6:928:20200524,Liège-Guillemins,Liège-Guillemins -- Liers,-4.288362932254336e+18,-6.465769007291632e+18
1,48,88____:007::8841004:8841673:6:1257:20200524,Liers,Liège-Guillemins -- Liers,-6.465769007291632e+18,-4.288362932254336e+18
1,48,88____:007::8841673:8841004:6:1128:20200524,Liège-Guillemins,Liège-Guillemins -- Liers,-4.288362932254336e+18,-6.465769007291632e+18
1,48,88____:007::8841004:8841673:6:1457:20200524,Liers,Liège-Guillemins -- Liers,-6.465769007291632e+18,-4.288362932254336e+18
1,48,88____:007::8841673:8841004:6:1328:20200524,Liège-Guillemins,Liège-Guillemins -- Liers,-4.288362932254336e+18,-6.465769007291632e+18
1,48,88____:007::8841004:8841673:6:1657:20200524,Liers,Liège-Guillemins -- Liers,-6.465769007291632e+18,-4.288362932254336e+18
1,48,88____:007::8841673:8841004:6:1528:20200524,Liège-Guillemins,Liège-Guillemins -- Liers,-4.288362932254336e+18,-6.465769007291632e+18
1,48,88____:007::8841004:8841673:6:1857:20200524,Liers,Liège-Guillemins -- Liers,-6.465769007291632e+18,-4.288362932254336e+18
1,48,88____:007::8841673:8841004:6:1728:20200524,Liège-Guillemins,Liège-Guillemins -- Liers,-4.288362932254336e+18,-6.465769007291632e+18
1,48,88____:007::8841004:8841673:6:2057:20200524,Liers,Liège-Guillemins -- Liers,-6.465769007291632e+18,-4.288362932254336e+18
1,48,88____:007::8841673:8841004:6:1928:20200524,Liège-Guillemins,Liège-Guillemins -- Liers,-4.288362932254336e+18,-6.465769007291632e+18
1,48,88____:007::8841004:8841673:6:2257:20200524,Liers,Liège-Guillemins -- Liers,-6.465769007291632e+18,-4.288362932254336e+18
1,48,88____:007::8841673:8841004:6:2128:20200524,Liège-Guillemins,Liège-Guillemins -- Liers,-4.288362932254336e+18,-6.465769007291632e+18
1,146,88____:007::8841004:8841673:6:57:20200525,Liers,Liège-Guillemins -- Liers,-6.465769007291632e+18,-4.288362932254336e+18
